status_description,status_timestamp,zone_number,kerbsideid,location.lat,location.lon
Unoccupied,2024-08-18T08:23:46+00:00,7394.0,9344,-37.80494402936792,144.95916129121264
Unoccupied,2024-08-14T09:22:05+00:00,7392.0,9373,-37.80329074425858,144.95836336946644
Present,2024-11-28T02:30:57+00:00,7084.0,8735,-37.80223335664963,144.96120480793184
Unoccupied,2024-11-27T23:23:40+00:00,7084.0,8749,-37.80230361629087,144.9618505999636
Present,2023-08-21T00:09:03+00:00,7800.0,24505,-37.79756250415984,144.95759881813447
Present,2025-01-20T05:57:00+00:00,7053.0,10280,-37.79502666258857,144.97240204442983
Unoccupied,2025-06-03T20:19:37+00:00,7986.0,11137,-37.80808044903779,144.9546070339519
Unoccupied,2023-04-19T12:14:14+00:00,7993.0,11249,-37.80737098495872,144.9545303646516
Present,2024-11-28T03:03:02+00:00,7084.0,8731,-37.80221348499492,144.96102904863818
Unoccupied,2024-11-28T02:53:41+00:00,7084.0,8736,-37.802242080448615,144.96129218606376
Unoccupied,2024-11-28T02:57:26+00:00,7084.0,8737,-37.802245282357404,144.9613214313597
Unoccupied,2024-11-27T10:09:44+00:00,7084.0,8739,-37.80225856919544,144.9614389418973
Unoccupied,2024-11-27T08:40:20+00:00,7084.0,8740,-37.80226177268457,144.96146818720734
Unoccupied,2024-10-19T13:31:48+00:00,7084.0,8751,-37.80228717056752,144.96170212543996
Unoccupied,2024-11-28T01:15:59+00:00,7084.0,8743,-37.802277599315886,144.96161438831626
Present,2024-11-28T03:14:47+00:00,7084.0,8750,-37.802271382658404,144.96155592654753
Present,2024-08-21T03:58:04+00:00,7394.0,9347,-37.805096352997225,144.95923156155152
Unoccupied,2024-07-05T11:02:23+00:00,7520.0,9356,-37.804990182314754,144.9586637442418
Unoccupied,2024-01-18T02:58:11+00:00,7520.0,9367,-37.80568474625133,144.9589842734913
Unoccupied,2024-08-11T11:07:54+00:00,7394.0,9345,-37.80499480404235,144.9591846617755
Present,2024-03-31T12:33:16+00:00,,9351,-37.80570432547628,144.95951121701592
Unoccupied,2024-08-20T07:55:24+00:00,7520.0,9366,-37.805633939220755,144.95896100249817
Unoccupied,2025-02-13T05:19:25+00:00,7480.0,56625,-37.81972470958111,144.95713757986294
